epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.589,1.48001,1.53905,1.02406,0.41439,0.32927,0.31126,0.18533,1.35181,1.11904,0.98254,0.000237926,0.000237926,0.000237926
2,357.836,1.4286,1.26401,1.00747,0.4119,0.33701,0.32012,0.1899,1.34898,1.1196,0.98627,0.000464147,0.000464147,0.000464147
3,527.09,1.41854,1.21382,0.99853,0.44662,0.35645,0.35217,0.21164,1.31981,1.07594,0.97475,0.000678587,0.000678587,0.000678587
4,696.141,1.40464,1.18396,0.99692,0.45825,0.37393,0.36985,0.22308,1.31249,1.05255,0.97449,0.000660986,0.000660986,0.000660986
5,865.855,1.38464,1.1484,0.98962,0.46454,0.37463,0.37219,0.22398,1.31686,1.05063,0.96899,0.000643314,0.000643314,0.000643314
6,1033.52,1.37738,1.12359,0.98338,0.47322,0.38426,0.3856,0.23328,1.29325,1.02296,0.96241,0.000625642,0.000625642,0.000625642
7,1203.7,1.35544,1.09532,0.97658,0.49801,0.39593,0.39951,0.23983,1.30214,1.00907,0.9639,0.000607971,0.000607971,0.000607971
8,1371.45,1.34713,1.07499,0.97209,0.50527,0.39069,0.40308,0.2462,1.27305,0.9963,0.95828,0.0005903,0.0005903,0.0005903
9,1540.87,1.34347,1.07103,0.97416,0.50092,0.39872,0.40501,0.2464,1.27431,0.99004,0.95562,0.000572628,0.000572628,0.000572628
10,1711.1,1.33474,1.05062,0.97102,0.48728,0.40006,0.40973,0.25109,1.2691,0.98584,0.95368,0.000554956,0.000554956,0.000554956
11,1883.79,1.31692,1.02217,0.96419,0.51472,0.40327,0.41836,0.25621,1.25972,0.97088,0.95127,0.000537285,0.000537285,0.000537285
12,2054,1.31828,1.02531,0.96345,0.53155,0.41232,0.42872,0.26203,1.25984,0.9619,0.94978,0.000519613,0.000519613,0.000519613
13,2228.15,1.31198,1.00583,0.95968,0.53289,0.42089,0.43222,0.26522,1.2419,0.94359,0.94548,0.000501942,0.000501942,0.000501942
14,2401.4,1.30313,0.99698,0.95833,0.54078,0.41737,0.43719,0.26782,1.24473,0.93676,0.94616,0.000484271,0.000484271,0.000484271
15,2575.11,1.30166,0.99124,0.9555,0.5547,0.41822,0.44028,0.2701,1.24148,0.93118,0.94526,0.000466599,0.000466599,0.000466599
16,2746.24,1.28608,0.97261,0.95102,0.54581,0.42545,0.44426,0.27333,1.23424,0.93627,0.94332,0.000448928,0.000448928,0.000448928
17,2925.49,1.28898,0.9752,0.95269,0.54883,0.42474,0.44826,0.27527,1.23255,0.93019,0.94435,0.000431256,0.000431256,0.000431256
18,3102.03,1.28423,0.96197,0.94909,0.55023,0.42854,0.45092,0.27865,1.22474,0.92053,0.93938,0.000413584,0.000413584,0.000413584
19,3277.11,1.27982,0.95408,0.94937,0.55784,0.43582,0.45689,0.27929,1.23547,0.9115,0.94216,0.000395913,0.000395913,0.000395913
20,3448.24,1.27202,0.94279,0.94548,0.55794,0.42989,0.45772,0.28162,1.22435,0.90775,0.94107,0.000378242,0.000378242,0.000378242
21,3628.27,1.26335,0.9319,0.94366,0.57079,0.43488,0.46532,0.28696,1.21534,0.90011,0.93845,0.00036057,0.00036057,0.00036057
22,3804.72,1.25699,0.92331,0.94146,0.55476,0.44519,0.46477,0.28868,1.20949,0.89223,0.93425,0.000342899,0.000342899,0.000342899
23,3991.46,1.25327,0.9209,0.94238,0.55279,0.44158,0.46477,0.28763,1.21203,0.89986,0.93559,0.000325227,0.000325227,0.000325227
24,4167.3,1.25096,0.90935,0.94112,0.55948,0.44372,0.46576,0.28821,1.20786,0.88735,0.93607,0.000307555,0.000307555,0.000307555
25,4355.16,1.24484,0.9,0.93695,0.55533,0.44942,0.46764,0.28903,1.22308,0.89813,0.93919,0.000289884,0.000289884,0.000289884
26,4532.06,1.24804,0.90247,0.93943,0.56396,0.44658,0.47207,0.29289,1.20926,0.88678,0.93428,0.000272212,0.000272212,0.000272212
27,4716.71,1.23625,0.88951,0.93417,0.55911,0.45119,0.47157,0.29407,1.20398,0.8831,0.93353,0.000254541,0.000254541,0.000254541
28,4894.27,1.23328,0.88763,0.93421,0.56751,0.45282,0.4737,0.2945,1.20372,0.87644,0.9326,0.000236869,0.000236869,0.000236869
29,5073.48,1.23561,0.88425,0.93469,0.56609,0.45533,0.47719,0.29587,1.20686,0.8766,0.93166,0.000219198,0.000219198,0.000219198
30,5250.57,1.22308,0.86721,0.93089,0.58126,0.45168,0.47935,0.29913,1.19963,0.87098,0.93108,0.000201527,0.000201527,0.000201527
31,5462.25,1.22756,0.8615,0.9277,0.57383,0.45269,0.47645,0.29643,1.20512,0.875,0.93204,0.000183855,0.000183855,0.000183855
32,5637.17,1.22093,0.84494,0.92578,0.56633,0.45761,0.47681,0.29577,1.20306,0.87338,0.93198,0.000166183,0.000166183,0.000166183
33,5817.37,1.21536,0.83847,0.92281,0.5856,0.4483,0.47656,0.29672,1.20151,0.86928,0.9325,0.000148512,0.000148512,0.000148512
34,5991.9,1.20579,0.82907,0.92225,0.57182,0.45452,0.47725,0.29758,1.20223,0.87056,0.93118,0.000130841,0.000130841,0.000130841
35,6171.64,1.20329,0.82328,0.92033,0.58178,0.45105,0.47993,0.29885,1.19982,0.86864,0.93158,0.000113169,0.000113169,0.000113169
36,6344.94,1.19717,0.81483,0.91894,0.57816,0.45155,0.47864,0.29817,1.20208,0.86844,0.93125,9.54975e-05,9.54975e-05,9.54975e-05
37,6514.37,1.18966,0.80548,0.91828,0.58505,0.44967,0.48096,0.29991,1.19949,0.86614,0.93093,7.7826e-05,7.7826e-05,7.7826e-05
38,6686.54,1.19104,0.80192,0.91784,0.58931,0.44846,0.4816,0.3004,1.20051,0.86417,0.93111,6.01545e-05,6.01545e-05,6.01545e-05
39,6860.39,1.18394,0.79449,0.91671,0.59716,0.44991,0.48292,0.30087,1.19788,0.86012,0.93034,4.2483e-05,4.2483e-05,4.2483e-05
40,7034.8,1.17846,0.78768,0.91344,0.58601,0.45149,0.48307,0.3006,1.1992,0.86133,0.9302,2.48115e-05,2.48115e-05,2.48115e-05
